time,x,y,z
1.75689e+09,-1.99616,-1.58835,0
1.75689e+09,-1.98836,-1.56943,0
1.75689e+09,-2.0147,-1.58456,0
1.75689e+09,-2.00482,-1.58917,0
1.75689e+09,-2.00197,-1.57378,0
1.75689e+09,-2.01217,-1.58959,0
1.75689e+09,-1.95656,-1.54723,0
1.75689e+09,-1.98572,-1.57441,0
1.75689e+09,-2.01296,-1.59448,0
1.75689e+09,-1.90801,-1.56797,0
1.75689e+09,-1.9718,-1.57945,0
1.75689e+09,-1.9625,-1.57756,0
1.75689e+09,-1.97247,-1.56046,0
1.75689e+09,-1.95813,-1.54692,0
1.75689e+09,-1.98491,-1.56889,0
1.75689e+09,-1.99337,-1.56902,0
1.75689e+09,-1.9642,-1.55199,0
1.75689e+09,-1.96014,-1.56517,0
1.75689e+09,-2.00608,-1.58432,0
1.75689e+09,-1.97451,-1.57266,0
1.75689e+09,-1.96738,-1.57738,0
1.75689e+09,-2.00372,-1.59205,0
1.75689e+09,-1.971,-1.5904,0
1.75689e+09,-2.02878,-1.58783,0
1.75689e+09,-1.97842,-1.57868,0
1.75689e+09,-1.97933,-1.56678,0
1.75689e+09,-2.01359,-1.5692,0
1.75689e+09,-2.03016,-1.60197,0
1.75689e+09,-1.97007,-1.56584,0
1.75689e+09,-2.00478,-1.57919,0
1.75689e+09,-1.9634,-1.56947,0
1.75689e+09,-1.98902,-1.57397,0
1.75689e+09,-2.03575,-1.57483,0
1.75689e+09,-1.98494,-1.58916,0
1.75689e+09,-2.00413,-1.57632,0
1.75689e+09,-1.95521,-1.5753,0
1.75689e+09,-1.96816,-1.5745,0
1.75689e+09,-1.99755,-1.56856,0
1.75689e+09,-2.01169,-1.59963,0
1.75689e+09,-1.96831,-1.56449,0
1.75689e+09,-2.0035,-1.57305,0
1.75689e+09,-1.99151,-1.59379,0
1.75689e+09,-1.96693,-1.60916,0
1.75689e+09,-1.96454,-1.56163,0
1.75689e+09,-1.97019,-1.56578,0
1.75689e+09,-1.96628,-1.56494,0
1.75689e+09,-1.96951,-1.57755,0
1.75689e+09,-1.9689,-1.57239,0
1.75689e+09,-1.99213,-1.57347,0
1.75689e+09,-1.99523,-1.58322,0
1.75689e+09,-1.97002,-1.5723,0
1.75689e+09,-1.97727,-1.55277,0
1.75689e+09,-2.0019,-1.57746,0
1.75689e+09,-1.95462,-1.6054,0
1.75689e+09,-1.97065,-1.55927,0
1.75689e+09,-2.00055,-1.59684,0
1.75689e+09,-1.97751,-1.5633,0
1.75689e+09,-2.02952,-1.59412,0
1.75689e+09,-1.988,-1.5498,0
1.75689e+09,-2.01868,-1.57625,0
1.75689e+09,-2.02895,-1.59327,0
1.75689e+09,-1.99287,-1.55315,0
1.75689e+09,-1.96045,-1.56127,0
1.75689e+09,-2.0027,-1.55432,0
